time,Hips.x,Hips.y,Hips.z,Chest.x,Chest.y,Chest.z,Chest2.x,Chest2.y,Chest2.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftElbow.x,LeftElbow.y,LeftElbow.z,LeftWrist.x,LeftWrist.y,LeftWrist.z,LeftHand.x,LeftHand.y,LeftHand.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightElbow.x,RightElbow.y,RightElbow.z,RightWrist.x,RightWrist.y,RightWrist.z,RightHand.x,RightHand.y,RightHand.z,HipLeft.x,HipLeft.y,HipLeft.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,LeftAnkle.x,LeftAnkle.y,LeftAnkle.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightHip.x,RightHip.y,RightHip.z,RightKnee.x,RightKnee.y,RightKnee.z,RightAnkle.x,RightAnkle.y,RightAnkle.z,RightFoot.x,RightFoot.y,RightFoot.z
   0.00000, -17.36311,  34.44157, 219.87957, -16.12523,  66.80396, 213.54368, -15.22673,  89.22033, 208.47428, -15.12999,  95.95677, 206.57402, -14.92269, 110.39200, 202.50202,  -1.23108,  89.11309, 208.80660,  23.76108,  88.90842, 209.39797,  46.75387,  88.72018, 209.94208,  55.07127,  88.65209, 210.13893, -29.22237,  89.32757, 208.14196, -54.21435,  89.54694, 207.54785, -77.20697,  89.74881, 207.00141, -85.52430,  89.82185, 206.80383,  -7.85186,  34.12915, 220.14207,  -9.25140,  -2.46977, 227.30745, -10.54904, -36.40121, 233.95078, -10.55376, -42.21511, 227.19899, -26.87436,  34.75399, 219.61707, -28.27470,  -1.84488, 226.78257, -29.57300, -35.77630, 233.42582, -29.60568, -42.06793, 227.11690
   0.03333, -17.43821,  34.42741, 219.94758, -16.24305,  66.81363, 213.72631, -15.37510,  89.25095, 208.74500, -15.28185,  95.99453, 206.87005, -15.08204, 110.44506, 202.85229,  -1.37952,  89.15123, 209.08237,  23.61256,  88.96039, 209.68221,  46.60526,  88.78487, 210.23411,  54.92262,  88.72137, 210.43378, -29.37068,  89.35067, 208.40762, -54.36248,  89.56565, 207.80471, -77.35494,  89.76346, 207.25015, -85.67222,  89.83504, 207.04962,  -7.92663,  34.12730, 220.21257,  -9.27791,  -2.49857, 227.24830, -10.53079, -36.45500, 233.77141, -10.52548, -42.25574, 227.00832, -26.94979,  34.72752, 219.68259, -28.30177,  -1.89831, 226.71843, -29.55523, -35.85474, 233.24147, -29.57812, -42.14680, 226.93295
   0.06667, -17.52662,  34.41120, 220.02440, -16.37874,  66.82332, 213.93043, -15.54389,  89.28311, 209.04566, -15.45450,  96.03398, 207.19693, -15.26294, 110.50012, 203.23536,  -1.54838,  89.19153, 209.38800,  23.44361,  89.01599, 209.99608,  46.43624,  88.85453, 210.55556,  54.75357,  88.79612, 210.75797, -29.53940,  89.37468, 208.70332, -54.53104,  89.58545, 208.09191, -77.52334,  89.77938, 207.52951, -85.84056,  89.84955, 207.32614,  -8.01469,  34.12459, 220.29175,  -9.31255,  -2.53057, 227.18353, -10.51589, -36.51417, 233.57315, -10.49974, -42.29784, 226.79546, -27.03855,  34.69780, 219.75706, -28.33701,  -1.95733, 226.64893, -29.54085, -35.94092, 233.03850, -29.55316, -42.23184, 226.72880
   0.10000, -17.62951,  34.39314, 220.10983, -16.53246,  66.83245, 214.15267, -15.73230,  89.31532, 209.36934, -15.64706,  96.07346, 207.54719, -15.46440, 110.55519, 203.64257,  -1.73685,  89.23242, 209.71657,  23.25505,  89.07354, 210.33273,  46.24760,  88.92741, 210.89963,  54.56490,  88.87455, 211.10471, -29.72775,  89.39822, 209.02212, -54.71921,  89.60518, 208.40249, -77.71136,  89.79561, 207.83253, -86.02852,  89.86451, 207.62641,  -8.11723,  34.12096, 220.37948,  -9.35764,  -2.56494, 227.11653, -10.50771, -36.57705, 233.36268, -10.48000, -42.33932, 226.56683, -27.14180,  34.66531, 219.84019, -28.38273,  -2.02057, 226.57731, -29.53323, -36.03266, 232.82341, -29.53415, -42.31824, 226.50838
   0.13333, -17.74747,  34.37352, 220.20351, -16.70288,  66.84044, 214.38906, -15.93764,  89.34623, 209.70888, -15.85735,  96.11172, 207.91399, -15.68529, 110.60921, 204.06779,  -1.94224,  89.27335, 210.06025,  23.04961,  89.13406, 210.68311,  46.04212,  89.00595, 211.25616,  54.35940,  88.95961, 211.46347, -29.93304,  89.41910, 209.35752, -54.92437,  89.62126, 208.73120, -77.91640,  89.80726, 208.15506, -86.23352,  89.87455, 207.94670,  -8.23483,  34.11613, 220.47527,  -9.41595,  -2.60101, 227.05092, -10.51104, -36.64207, 233.14741, -10.47153, -42.37819, 226.32953, -27.26011,  34.63091, 219.93175, -28.44166,  -2.08620, 226.50746, -29.53711, -36.12726, 232.60391, -29.52629, -42.40301, 226.27912
   0.16667, -17.88042,  34.35223, 220.30429, -16.88827,  66.84633, 214.63426, -16.15754,  89.37426, 210.05623, -16.08266,  96.14691, 208.28827, -15.92220, 110.65971, 204.49977,  -2.16217,  89.31210, 210.41086,  22.82966,  89.19421, 211.03884,  45.82215,  89.08578, 211.61660,  54.13943,  89.04656, 211.82561, -30.15291,  89.43643, 209.70160, -55.14416,  89.63401, 209.07034, -78.13611,  89.81579, 208.48964, -86.45320,  89.88156, 208.27962,  -8.36745,  34.10951, 220.57786,  -9.48930,  -2.63836, 226.99017, -10.52943, -36.70792, 232.93521, -10.47836, -42.41564, 226.09361, -27.39339,  34.59496, 220.03072, -28.51560,  -2.15289, 226.44308, -29.55603, -36.22245, 232.38809, -29.53355, -42.48376, 226.04904
   0.20000, -18.02744,  34.32971, 220.41008, -17.08647,  66.84994, 214.88295, -16.38945,  89.39893, 210.40441, -16.32021,  96.17829, 208.66213, -16.17182, 110.70548, 204.92868,  -2.39411,  89.34781, 210.76172,  22.59772,  89.25258, 211.39376,  45.59020,  89.16498, 211.97526,  53.90748,  89.13330, 212.18562, -30.38480,  89.45005, 210.04709, -55.37598,  89.64393, 209.41214, -78.36787,  89.82231, 208.82803, -86.68494,  89.88684, 208.61677,  -8.51416,  34.10123, 220.68535,  -9.57817,  -2.67619, 226.93606, -10.56467, -36.77315, 232.73127, -10.50240, -42.45115, 225.86508, -27.54071,  34.55819, 220.13482, -28.60501,  -2.21921, 226.38558, -29.59174, -36.31617, 232.18076, -29.55778, -42.55892, 225.82348
   0.23333, -18.18729,  34.30666, 220.51818, -17.29466,  66.85161, 215.13031, -16.62956,  89.42042, 210.74779, -16.56647,  96.20608, 209.02999, -16.43129, 110.74678, 205.34899,  -2.63419,  89.38091, 211.10570,  22.35771,  89.31011, 211.73806,  45.35026,  89.24499, 212.31986,  53.66756,  89.22143, 212.53032, -30.62493,  89.45993, 210.38988, -55.61614,  89.65056, 209.75519, -78.60806,  89.82595, 209.17133, -86.92514,  89.88940, 208.96015,  -8.67373,  34.09141, 220.79411,  -9.68310,  -2.71398, 226.88732, -10.61894, -36.83686, 232.53649, -10.54682, -42.48319, 225.64433, -27.70086,  34.52191, 220.24225, -28.71046,  -2.28346, 226.33549, -29.64649, -36.40634, 231.98465, -29.60226, -42.62688, 225.60569
   0.26666, -18.35795,  34.28344, 220.62611, -17.50973,  66.85145, 215.37200, -16.87409,  89.43868, 211.08098, -16.81804,  96.23033, 209.38678, -16.69792, 110.78388, 205.75635,  -2.87865,  89.41203, 211.43719,  22.11341,  89.36871, 212.06582,  45.10610,  89.32887, 212.64417,  53.42346,  89.31446, 212.85338, -30.86954,  89.46534, 210.72476, -55.86090,  89.65192, 210.09467, -78.85295,  89.82359, 209.51503, -87.17008,  89.88569, 209.30537,  -8.84411,  34.08011, 220.90164,  -9.80328,  -2.75134, 226.84356, -10.69256, -36.89839, 232.35246, -10.61222, -42.51270, 225.43428, -27.87179,  34.48678, 220.35057, -28.83113,  -2.34467, 226.29252, -29.72056, -36.49172, 231.80141, -29.66754, -42.68689, 225.39788
   0.30000, -18.53874,  34.26010, 220.73252, -17.72999,  66.84931, 215.60526, -17.12063,  89.45342, 211.40015, -17.07198,  96.25060, 209.72804, -16.96772, 110.81599, 206.14493,  -3.12509,  89.44010, 211.75324,  21.86716,  89.42607, 212.37559,  44.86003,  89.41317, 212.94816,  53.17745,  89.40850, 213.15528, -31.11617,  89.46675, 211.04707, -56.10775,  89.64978, 210.42440, -79.09999,  89.81817, 209.85157, -87.41719,  89.87909, 209.64437,  -9.02466,  34.06718, 221.00703,  -9.93923,  -2.78826, 226.80551, -10.78715, -36.95756, 232.18141, -10.70007, -42.54129, 225.23861, -28.05283,  34.45302, 220.45801, -28.96753,  -2.40242, 226.25650, -29.81556, -36.57172, 231.63239, -29.75516, -42.74028, 225.20329
